Best Actress,
Rachel Weisz,New York Film Critics
Jennifer Lawrence,LA Film Critics
Jessica Chastain,DC Film Critics
Emmanuelle Riva,Boston Film Critics
Emmanuelle Riva,San Francisco Critics
Jennifer Lawrence,Las Vegas Critics
Jennifer Lawrence,Houston Critics
Emmanuelle Riva,National Society of Film Critics
Jennifer Lawrence,Screen Actors Guild
Jessica Chastain,Critics Choice
Jessica Chastain,Golden Globes-Drama
Jennifer Lawrence,Golden Globes-Musical or Comedy
Emmanuelle Riva,LA Film Critics
