Best Cinematography,
The Immigrant,New York Film Critics
Birdman or (The Unexpected Virtue of Ignorance),LA Film Critics
Birdman or (The Unexpected Virtue of Ignorance),DC Film Critics
Birdman or (The Unexpected Virtue of Ignorance),Boston Film Critics
Ida,San Francisco Critics
Birdman or (The Unexpected Virtue of Ignorance),Las Vegas Critics
Birdman or (The Unexpected Virtue of Ignorance),Houston Critics
Mr. Turner,National Society of Film Critics
Birdman or (The Unexpected Virtue of Ignorance),Critics Choice
