Year,Category,Nominee,Additional Info
2017,Actor - Leading Role,Casey Affleck,Manchester by the Sea
2017,Actor - Leading Role,Andrew Garfield,Hacksaw Ridge
2017,Actor - Leading Role,Ryan Gosling,La La Land
2017,Actor - Leading Role,Viggo Mortensen,Captain Fantastc
2017,Actor - Leading Role,Denzel Washington,Fences
2017,Actor - Supporting Role,Mahershala Ali,Moonlight
2017,Actor - Supporting Role,Jeff Bridges,Hell or High Water
2017,Actor - Supporting Role,Lucas Hedges,Manchester by the Sea
2017,Actor - Supporting Role,Dev Patel,Lion
2017,Actor - Supporting Role,Michael Shannon,Nocturnal Animals
2017,Actress - Leading Role,Isabelle Huppert,Elle
2017,Actress - Leading Role,Ruth Negga,Lovving
2017,Actress - Leading Role,Natalie Portman,Jackie
2017,Actress - Leading Role,Emma Stone,La La Land
2017,Actress - Leading Role,Meryl Streep,Florence Foster Jenkins
2017,Actress - Supporting Role,Viola Davis,Fences
2017,Actress - Supporting Role,Naomie Harris,Moonlight
2017,Actress - Supporting Role,Nicole Kidman,Lion
2017,Actress - Supporting Role,Octavia Spencer,Hidden Figures
2017,Actress - Supporting Role,Michelle Williams,Manchester by the Sea
2017,Animated Feature,Kubo and the Two Strings,NONE
2017,Animated Feature,Moana,NONE
2017,Animated Feature,My Life as a Zucchini,NONE
2017,Animated Feature,The Red Turtle,NONE
2017,Animated Feature,Zootopia,NONE
2017,Best Picture,Arrival,NONE
2017,Best Picture,Fences,NONE
2017,Best Picture,Hacksaw Ridge,NONE
2017,Best Picture,Hell or High Water,NONE
2017,Best Picture,Hidden Figures,NONE
2017,Best Picture,La La Land,NONE
2017,Best Picture,Lion,NONE
2017,Best Picture,Manchester by the Sea,NONE
2017,Best Picture,Moonlight,NONE
2017,Cinematography,Arrival,NONE
2017,Cinematography,La La Land,NONE
2017,Cinematography,Lion,NONE
2017,Cinematography,Moonlight,NONE
2017,Cinematography,Silence,NONE
2017,Costume Design,Allied,NONE
2017,Costume Design,Fantastic Beasts and Where to Find Them,NONE
2017,Costume Design,Florence Foster Jenkins,NONE
2017,Costume Design,Jackie,NONE
2017,Costume Design,La La Land,NONE
2017,Director,Arrival,NONE
2017,Director,Hacksaw Ridge,NONE
2017,Director,La La Land,NONE
2017,Director,Manchester by the Sea,NONE
2017,Director,Moonlight,NONE
2017,Documentary,Fire at Sea,NONE
2017,Documentary,I Am Not Your Negro,NONE
2017,Documentary,Life Animated,NONE
2017,Documentary,OJ Made in America,NONE
2017,Documentary,13th,NONE
2017,Film Editing,Arrival,NONE
2017,Film Editing,Hacksaw Ridge,NONE
2017,Film Editing,Hell or High Water,NONE
2017,Film Editing,La La Land,NONE
2017,Film Editing,Moonlight,NONE
2017,Foreign Language Film,Land of Mine,NONE
2017,Foreign Language Film,A Man Called Ove,NONE
2017,Foreign Language Film,The Salesman,NONE
2017,Foreign Language Film,Tanna,NONE
2017,Foreign Language Film,Toni Erdmann,NONE
2017,Makeup and Hairstyling,A Man Called Ove,NONE
2017,Makeup and Hairstyling,Star Trek Beyond,NONE
2017,Makeup and Hairstyling,Suicide Squad,NONE
2017,Production Design,Arrival,NONE
2017,Production Design,Fantastic Beasts and Where to Find Them,NONE
2017,Production Design,Hail Caesar,NONE
2017,Production Design,La La Land,NONE
2017,Production Design,Passengers,NONE
2017,Score,Jackie,NONE
2017,Score,La La Land,NONE
2017,Score,Lion,NONE
2017,Score,Moonlight,NONE
