Year,Category,Nominee
2017,Actor - Leading Role,Casey Affleck
2017,Actor - Supporting Role,Mahershala Ali
2017,Actress - Leading Role,Emma Stone
2017,Actress - Supporting Role,Viola Davis
2017,Animated Feature,Zootopia
2017,Best Picture,Moonlight
2017,Cinematography,La La Land
2017,Costume Design,Fantastic Beasts and Where to Find Them
2017,Director,La La Land
2017,Documentary,OJ Made in America
2017,Film Editing,Hacksaw Ridge
2017,Foreign Language Film,The Salesman
2017,Makeup and Hairstyling,Suicide Squad
2017,Production Design,La La Land
2017,Score,La LA Land
2017,Screenplay - Adapted,Moonlight
2017,Screenplay - Original,Manchester by The Sea
2017,Song,City of Stars
2017,Visual Effects,The Jungle Book
2016,Actor - Leading Role,Leonardo DiCaprio
2016,Actor - Supporting Role,Mark Rylance
2016,Actress - Leading Role,Brie Larson
2016,Actress - Supporting Role,Alicia Vikander
2016,Animated Feature,Inside Out
2016,Best Picture,Spotlight
2016,Cinematography,The Revenant
2016,Costume Design,Mad Max: Fury Road
2016,Director,The Revenant
2016,Documentary,Amy
2016,Film Editing,Mad Max: Fury Road
2016,Foreign Language Film,Son of Saul
2016,Makeup and Hairstyling,Mad Max: Fury Road
2016,Production Design,Mad Max: Fury Road
2016,Score,The Hateful Eight
2016,Screenplay - Adapted,The Big Short
2016,Screenplay - Original,Spotlight
2016,Song,Writing's On the Wall
2016,Visual Effects,Ex Machina
2015,Actor - Leading Role,Eddie Redmayne
2015,Actor - Supporting Role,J K Simmons
2015,Actress - Leading Role,Julianne Moore
2015,Actress - Supporting Role,Patricia Arquette
2015,Animated Feature,Big Hero 6
2015,Best Picture,Birdman Or (The Unexpected Virtue of Ignorance)
2015,Cinematography,Birdman Or (The Unexpected Virtue of Ignorance)
2015,Costume Design,The Grand Budapest Hotel
2015,Director,Birdman Or (The Unexpected Virtue of Ignorance)
2015,Documentary,CitizenFour
2015,Film Editing,Whiplash
2015,Foreign Language Film,Ida
2015,Makeup and Hairstyling,The Grand Budapest Hotel
2015,Production Design,The Grand Budapest Hotel
2015,Score,The Grand Budapest Hotel
2015,Screenplay - Adapted,The Imitation Game
2015,Screenplay - Original,Birdman Or (The Unexpected Virtue of Ignorance)
2015,Song,Glory
2015,Visual Effects,Interstellar
2014,Actor - Leading Role,Matthew McConahughey
2014,Actor - Supporting Role,Jared Leto
2014,Actress - Leading Role,Cate Blanchett
2014,Actress - Supporting Role,Lupita Nyong'o
2014,Animated Feature,Frozen
2014,Best Picture,12 Years a Slave
2014,Cinematography,Gravity
2014,Costume Design,The Great Gatsby
2014,Director,Gravity
2014,Documentary,20 Feet From Stardom
2014,Film Editing,Gravity
2014,Foreign Language Film,The Great Beauty
2014,Makeup and Hairstyling,Dallas Buyers Club
2014,Production Design,The Great Gatsby
2014,Score,Gravity
2014,Screenplay - Adapted,12 Years a Slave
2014,Screenplay - Original,Her
2014,Song,Let it Go
2014,Visual Effects,Gravity
2013,Actor - Leading Role,Daniel Day-Lewis
2013,Actor - Supporting Role,Christoph Waltz
2013,Actress - Leading Role,Jennifer Hudson
2013,Actress - Supporting Role,Anne Hathaway
2013,Animated Feature,Brave
2013,Best Picture,Argo
2013,Cinematography,Life of Pi
2013,Costume Design,Anna Karenina
2013,Director,Life of Pi
2013,Documentary,Searching for Sugar Man
2013,Film Editing,Argo
2013,Foreign Language Film,Armour
2013,Makeup and Hairstyling,Les Miserables
2013,Production Design,Lincoln
2013,Score,Life of Pi
2013,Screenplay - Adapted,Argo
2013,Screenplay - Original,Django Unchained
2013,Song,Skyfall
2013,Visual Effects,Life of Pi
2012,Actor - Leading Role,Jean Dujardin
2012,Actor - Supporting Role,Christopher Plummer
