Year,Award,Name,Issuer
1991,Actor - Leading Role,Gerard Depardieu,Golden Globes-Musical or Comedy
1991,Actor - Leading Role,Jeremy Irons,Boston Film Critics
1991,Actor - Leading Role,Jeremy Irons,Golden Globes-Drama
1991,Actor - Leading Role,Jeremy Irons,LA Film Critics
1991,Actor - Leading Role,Robert De Niro,New York Film Critics
1991,Actor - Supporting Role,Bruce Davidson,Golden Globes
1991,Actor - Supporting Role,Bruce Davidson,New York Film Critics
1991,Actor - Supporting Role,Joe Pesci,Boston Film Critics
1991,Actor - Supporting Role,Joe Pesci,LA Film Critics
1991,Actress - Leading Role,Anjelica Huston,Boston Film Critics
1991,Actress - Leading Role,Anjelica Huston,LA Film Critics
1991,Actress - Leading Role,Joanne Woodward,New York Film Critics
1991,Actress - Leading Role,Julia Roberts,Golden Globes-Musical or Comedy
1991,Actress - Leading Role,Kathy Bates,Golden Globes-Drama
1991,Actress - Supporting Role,Jennifer Jason Leigh,Boston Film Critics
1991,Actress - Supporting Role,Jennifer Jason Leigh,New York Film Critics
1991,Actress - Supporting Role,Lorraine Bracco,LA Film Critics
1991,Actress - Supporting Role,Whoopi Goldberg,Golden Globes
1991,Best Picture,Dances With Wolves,Golden Globes-Drama
1991,Best Picture,Dances With Wolves,Producers Guild
1991,Best Picture,Goodfellas,Boston Film Critics
1991,Best Picture,Goodfellas,LA Film Critics
1991,Best Picture,Goodfellas,New York Film Critics
1991,Best Picture,Goodfellas,New York Film Critics
1991,Best Picture,Green Card,Golden Globes-Musical or Comedy
1991,Cinematography,Goodfellas,LA Film Critics
1991,Cinematography,The Sheltering Sky,New York Film Critics
1991,Director,Dances With Wolves,Directors Guild
1991,Director,Dances With Wolves,Golden Globes
1991,Director,Goodfellas,Boston Film Critics
1991,Director,Goodfellas,LA Film Critics
1991,Director,Goodfellas,New York Film Critics
1991,Documentary,Paris is Burning,LA Film Critics
1991,Foreign Language Film,Cyrano de Bergerac,Golden Globes
1991,Foreign Language Film,Life and Nothing But,LA Film Critics
1991,Foreign Language Film,Mr Hire,Boston Film Critics
1991,Foreign Language Film,The Nasty Girl,New York Film Critics
1991,Score,The Shattering Sky,LA Film Critics
1991,Score,The Sheltering Sky,Golden Globes
1991,Screenplay - Adapted,Dances With Wolves,Golden Globes
1991,Screenplay - Adapted,Dances With Wolves,Writers Guild
1991,Screenplay - Adapted,Reversal of Fortune,Boston Film Critics
1991,Screenplay - Adapted,Reversal of Fortune,LA Film Critics
1991,Screenplay - Original,Avalon,Writers Guild
1991,Screenplay - Original,Mr and Mrs Bvridge,New York Film Critics
1992,AA Filler Data,AA Filler Data,AA Filler Data
1992,Actor - Leading Role,Anthony Hopkins,New York Film Critics
1992,Actor - Leading Role,Nick Nolte,Boston Film Critics
1992,Actor - Leading Role,Nick Nolte,Golden Globes-Drama
1992,Actor - Leading Role,Nick Nolte,LA Film Critics
1992,Actor - Leading Role,Robin Williams,Golden Globes-Musical or Comedy
1992,Actor - Supporting Role,Anthony Hopkins,Boston Film Critics
1992,Actor - Supporting Role,Jack Palance,Golden Globes
1992,Actor - Supporting Role,Michael Lerner,LA Film Critics
1992,Actor - Supporting Role,Samuel L Jackson,New York Film Critics
1992,Actress - Leading Role,Bette Midler,Golden Globes-Musical or Comedy
1992,Actress - Leading Role,Geena Davis,Boston Film Critics
1992,Actress - Leading Role,Jodie Foster,Golden Globes-Drama
1992,Actress - Leading Role,Jodie Foster,New York Film Critics
1992,Actress - Leading Role,Merceder Ruehl,LA Film Critics
1992,Actress - Supporting Role,Jane Horrocks,LA Film Critics
1992,Actress - Supporting Role,Judy Davis,New York Film Critics
1992,Actress - Supporting Role,Merceder Ruehl,Boston Film Critics
1992,Actress - Supporting Role,Merceder Ruehl,Golden Globes
1992,Best Picture,Beauty and the Beast,Golden Globes-Musical or Comedy
1992,Best Picture,Bugsy,Golden Globes-Drama
1992,Best Picture,Bugsy,LA Film Critics
1992,Best Picture,The Silence of the Lambs,Boston Film Critics
1992,Best Picture,The Silence of the Lambs,New York Film Critics
1992,Best Picture,The Silence of the Lambs,New York Film Critics
1992,Best Picture,The Silence of the Lambs,Producers Guild
1992,Cinematography,Barton Fink,New York Film Critics
1992,Cinematography,Homicide,LA Film Critics
1992,Cinematography,The Silence of the Lambs,Boston Film Critics
1992,Director,Bugsy,LA Film Critics
1992,Director,JFK,Golden Globes
1992,Director,The Silence of the Lambs,Boston Film Critics
1992,Director,The Silence of the Lambs,Directors Guild
1992,Director,The Silence of the Lambs,New York Film Critics
1992,Documentary,American Dream,Directors Guild
1992,Documentary,American Dream,LA Film Critics
1992,Documentary,Paris is Burning,New York Film Critics
1992,Foreign Language Film,Europa Europa,Golden Globes
1992,Foreign Language Film,Europa Europa,New York Film Critics
1992,Foreign Language Film,Eurpoa Europa,Boston Film Critics
1992,Foreign Language Film,The Beautiful Troublemaker,LA Film Critics
1992,Score,Beauty and the Beast,Golden Globes
1992,Score,Eurpoa Europa,LA Film Critics
1992,Screenplay - Adapted,Bugsy,LA Film Critics
1992,Screenplay - Adapted,Naked Lunch,New York Film Critics
1992,Screenplay - Adapted,The Silence of the Lambs,Writers Guild
1992,Screenplay - Original,Naked Lunch,Boston Film Critics
1992,Screenplay - Original,Thelma and Louisse,Golden Globes
1992,Screenplay - Original,Thelma and Louisse,Writers Guild
1992,Z Filler Data,Z Filler Data,Z Filler Data
1993,AA Filler Data,AA Filler Data,AA Filler Data
1993,Actor - Leading Role,Al Pachino,Golden Globes-Drama
1993,Actor - Leading Role,Clint Eastwood,LA Film Critics
1993,Actor - Leading Role,Denzel Washington,Boston Film Critics
1993,Actor - Leading Role,Denzel Washington,New York Film Critics
1993,Actor - Leading Role,Tim Robbins,Golden Globes-Musical or Comedy
1993,Actor - Supporting Role,Gene Hackman,Boston Film Critics
1993,Actor - Supporting Role,Gene Hackman,Golden Globes
1993,Actor - Supporting Role,Gene Hackman,LA Film Critics
1993,Actor - Supporting Role,Gene Hackman,New York Film Critics
1993,Actress - Leading Role,Emma Thompson,Boston Film Critics
1993,Actress - Leading Role,Emma Thompson,Golden Globes-Drama
1993,Actress - Leading Role,Emma Thompson,LA Film Critics
1993,Actress - Leading Role,Emma Thompson,New York Film Critics
1993,Actress - Leading Role,Miranda Richardson,Golden Globes-Musical or Comedy
1993,Actress - Supporting Role,Joan Plowright,Golden Globes
1993,Actress - Supporting Role,Judy Davis,Boston Film Critics
1993,Actress - Supporting Role,Judy Davis,LA Film Critics
1993,Actress - Supporting Role,Miranda Richardson,New York Film Critics
1993,Best Picture,Scent of a Woman,Golden Globes-Drama
1993,Best Picture,The Crying Game,Producers Guild
1993,Best Picture,The Player,Golden Globes-Musical or Comedy
1993,Best Picture,The Player,New York Film Critics
1993,Best Picture,The Player,New York Film Critics
1993,Best Picture,Unforgiven,Boston Film Critics
1993,Best Picture,Unforgiven,LA Film Critics
1993,Cinematography,Raise the Red Lantern,LA Film Critics
1993,Cinematography,The Player,New York Film Critics
1993,Cinematography,Unforgiven,Boston Film Critics
1993,Director,The Player,Boston Film Critics
1993,Director,The Player,New York Film Critics
1993,Director,Unforgiven,Directors Guild
1993,Director,Unforgiven,Golden Globes
1993,Director,Unforgiven,LA Film Critics
1993,Documentary,Black Harvest,LA Film Critics
1993,Documentary,Brother's Lee[er,New York Film Critics
1993,Documentary,Bruce J Sinofsky Brother's Keeper,Directors Guild
1993,Foreign Language Film,Indochine,Golden Globes
1993,Foreign Language Film,Raise the Red Lantern,New York Film Critics
1993,Foreign Language Film,The Crying Game,LA Film Critics
1993,Score,Aladdin,Golden Globes
1993,Score,Damage,LA Film Critics
1993,Screenplay - Adapted,Scent of a Woman,Golden Globes
1993,Screenplay - Adapted,The Player,Writers Guild
1993,Screenplay - Original,The Crying Game,Boston Film Critics
1993,Screenplay - Original,The Crying Game,New York Film Critics
1993,Screenplay - Original,The Crying Game,Writers Guild
1993,Screenplay - Original,Unforgiven,LA Film Critics
1993,Z Filler Data,Z Filler Data,Z Filler Data
1994,AA Filler Data,AA Filler Data,AA Filler Data
1994,Actor - Leading Role,Anthony Hopkins,LA Film Critics
1994,Actor - Leading Role,Daniel Day Lewis,Boston Film Critics
1994,Actor - Leading Role,David Thewis,New York Film Critics
1994,Actor - Leading Role,Robin Williams,Golden Globes-Musical or Comedy
1994,Actor - Leading Role,Tom Hanks,Golden Globes-Drama
1994,Actor - Supporting Role,Ralph Fiennes,Boston Film Critics
1994,Actor - Supporting Role,Ralph Fiennes,New York Film Critics
1994,Actor - Supporting Role,Tommy Lee Jones,Golden Globes
1994,Actor - Supporting Role,Tommy Lee Jones,LA Film Critics
1994,Actress - Leading Role,Angela Bassett,Golden Globes-Musical or Comedy
1994,Actress - Leading Role,Holly Hunter,Boston Film Critics
1994,Actress - Leading Role,Holly Hunter,Golden Globes-Drama
1994,Actress - Leading Role,Holly Hunter,LA Film Critics
1994,Actress - Leading Role,Holly Hunter,New York Film Critics
1994,Actress - Supporting Role,Gong Li,New York Film Critics
1994,Actress - Supporting Role,Rosie Perez,Boston Film Critics
1994,Actress - Supporting Role,Rosie Perez,LA Film Critics
1994,Actress - Supporting Role,Winona Ryder,Golden Globes
1994,Best Picture,Mrs Boubtfire,Golden Globes-Musical or Comedy
1994,Best Picture,Schindler's List,Boston Film Critics
1994,Best Picture,Schindler's List,Golden Globes-Drama
1994,Best Picture,Schindler's List,LA Film Critics
1994,Best Picture,Schindler's List,New York Film Critics
1994,Best Picture,Schindler's List,New York Film Critics
1994,Best Picture,Schindler's List,Producers Guild
1994,Cinematography,Schindler's List,Boston Film Critics
1994,Cinematography,Schindler's List,New York Film Critics
1994,Cinematography,The Piano,LA Film Critics
1994,Director,Schindler's List,Boston Film Critics
1994,Director,Schindler's List,Directors Guild
1994,Director,Schindler's List,Golden Globes
1994,Director,The Piano,LA Film Critics
1994,Director,The Piano,New York Film Critics
1994,Documentary,Fallen Champ the Untold Story of Mike Tyson,Directors Guild
1994,Documentary,It's all true,LA Film Critics
1994,Documentary,Visions of Light,New York Film Critics
1994,Foreign Language Film,Farewell My Concubine,Boston Film Critics
1994,Foreign Language Film,Farewell My Concubine,Golden Globes
1994,Foreign Language Film,Farewell My Concubine,LA Film Critics
1994,Foreign Language Film,Farewell My Concubine,New York Film Critics
1994,Production Design,Schindler's List,LA Film Critics
1994,Score,Heaven and Earth,Golden Globes
1994,Score,Oliver Oliver,LA Film Critics
1994,Screenplay - Adapted,Schindler's List,Golden Globes
1994,Screenplay - Adapted,Schindler's List,Writers Guild
1994,Screenplay - Adapted,Short Cuts,Boston Film Critics
1994,Screenplay - Original,The Piano,LA Film Critics
1994,Screenplay - Original,The Piano,New York Film Critics
1994,Screenplay - Original,The Piano,Writers Guild
1994,Z Filler Data,Z Filler Data,Z Filler Data
1995,AA Filler Data,AA Filler Data,AA Filler Data
1995,Actor - Leading Role,Albert Finney,Boston Film Critics
1995,Actor - Leading Role,Hugh Grant,Golden Globes-Musical or Comedy
1995,Actor - Leading Role,John Travolta,LA Film Critics
1995,Actor - Leading Role,Paul Newman,New York Film Critics
1995,Actor - Leading Role,Tom Hanks,Golden Globes-Drama
1995,Actor - Leading Role,Tom Hanks,Screen Actors Guild
1995,Actor - Supporting Role,Martin Landau,Boston Film Critics
1995,Actor - Supporting Role,Martin Landau,Golden Globes
1995,Actor - Supporting Role,Martin Landau,LA Film Critics
1995,Actor - Supporting Role,Martin Landau,New York Film Critics
1995,Actor - Supporting Role,Martin Landau,Screen Actors Guild
1995,Actress - Leading Role,Jamie Lee Curtis,Golden Globes-Musical or Comedy
1995,Actress - Leading Role,Jessica Lange,Golden Globes-Drama
1995,Actress - Leading Role,Jessica Lange,LA Film Critics
1995,Actress - Leading Role,Jodie Foster,Screen Actors Guild
1995,Actress - Leading Role,Julianne Moore,Boston Film Critics
1995,Actress - Leading Role,Linda Florentino,New York Film Critics
1995,Actress - Supporting Role,Dianne West,Golden Globes
1995,Actress - Supporting Role,Dianne West,LA Film Critics
1995,Actress - Supporting Role,Dianne West,New York Film Critics
1995,Actress - Supporting Role,Kirsten Dunst,Boston Film Critics
1995,Best Picture,Forrest Gump,Golden Globes-Drama
1995,Best Picture,Forrest Gump,Producers Guild
1995,Best Picture,Pulp Fiction,Boston Film Critics
1995,Best Picture,Pulp Fiction,LA Film Critics
1995,Best Picture,Quiz Show,New York Film Critics
1995,Best Picture,Quiz Show,New York Film Critics
1995,Best Picture,The Lion King,Golden Globes-Musical or Comedy
1995,Cinematography,Ed Wood,Boston Film Critics
1995,Cinematography,Ed Wood,LA Film Critics
1995,Cinematography,Ed Wood,New York Film Critics
1995,Director,Forrest Gump,Directors Guild
1995,Director,Forrest Gump,Golden Globes
1995,Director,Pulp Fiction,Boston Film Critics
1995,Director,Pulp Fiction,LA Film Critics
1995,Director,Pulp Fiction,New York Film Critics
1995,Documentary,Hoop Dreams,Directors Guild
1995,Documentary,Hoop Dreams,LA Film Critics
1995,Documentary,Hoop Dreams,New York Film Critics
1995,Foreign Language Film,Farinelli,Golden Globes
1995,Foreign Language Film,Three Colours Red,Boston Film Critics
1995,Foreign Language Film,Three Colours Red,LA Film Critics
1995,Foreign Language Film,Three Colours Red,New York Film Critics
1995,Production Design,The Hudsucker Proxy,LA Film Critics
1995,Score,Ed Wood,LA Film Critics
1995,Score,The Lion King,Golden Globes
1995,Screenplay - Adapted,Forrest Gump,Writers Guild
1995,Screenplay - Adapted,Pulp Fiction,New York Film Critics
1995,Screenplay - Original,Four Weddings and a Funeral,Writers Guild
1995,Screenplay - Original,Pulp Fiction,Boston Film Critics
1995,Screenplay - Original,Pulp Fiction,Golden Globes
1995,Screenplay - Original,Pulp Fiction,LA Film Critics
1995,Z Filler Data,Z Filler Data,Z Filler Data
1996,AA Filler Data,AA Filler Data,AA Filler Data
