Year,Category,Nominee,Additional Info,Won
1991,Actor - Leading Role,Gerard Depardieu,Cyrano de Bergerac,No
1991,Actor - Leading Role,Jeremy Irons,Reversal of Fortune,Yes
1991,Actor - Leading Role,Kevin Costner,Dances With Wolves,No
1991,Actor - Leading Role,Richard Harris,The Field,No
1991,Actor - Leading Role,Robert De Niro,Awakenings,No
1991,Actor - Supporting Role,Al Pacino,Dick Tracy,No
1991,Actor - Supporting Role,Andy Garcia,The Godfather Part III,No
1991,Actor - Supporting Role,Bruce Davison,Longtime Companion,No
1991,Actor - Supporting Role,Graham Greene,Dances With Wolves,No
1991,Actor - Supporting Role,Joe Pesci,Goodfellas,Yes
1991,Actress - Leading Role,Anjelica Huston,The Grifters,No
1991,Actress - Leading Role,Joanne Woodward,Mr Mrs Bridge,No
1991,Actress - Leading Role,Julia Roberts,Pretty Woman,No
1991,Actress - Leading Role,Kathy Bates,Misery,Yes
1991,Actress - Leading Role,Meryl Streep,Postcards from the Edge,No
1991,Actress - Supporting Role,Annette Bening,The Grifters,No
1991,Actress - Supporting Role,Diane Ladd,Wild at Heart,No
1991,Actress - Supporting Role,Lorraine Bracco,Goodfellas,No
1991,Actress - Supporting Role,Mary McDonnell,Dances With Wolves,No
1991,Actress - Supporting Role,Whoopi Goldberg,Ghost,Yes
1991,Best Picture,Awakenings,NONE,No
1991,Best Picture,Dances With Wolves,NONE,Yes
1991,Best Picture,Ghost,NONE,No
1991,Best Picture,Goodfellas,NONE,No
1991,Best Picture,The Godfather Part III,NONE,No
1991,Cinematography,Avalon,NONE,No
1991,Cinematography,Dances With Wolves,NONE,Yes
1991,Cinematography,Dick Tracy,NONE,No
1991,Cinematography,Henry June,NONE,No
1991,Cinematography,The Godfather Part III,NONE,No
1991,Costume Design,Avalon,NONE,No
1991,Costume Design,Cyrano de Bergerac,NONE,Yes
1991,Costume Design,Dances With Wolves,NONE,No
1991,Costume Design,Dick Tracy,NONE,No
1991,Costume Design,Hamlet,NONE,No
1991,Director,Dances With Wolves,NONE,Yes
1991,Director,Goodfellas,NONE,No
1991,Director,Reversal of Fortune,NONE,No
1991,Director,The Godfather Part III,NONE,No
1991,Director,The Grifters,NONE,No
1991,Documentary,American Dream,NONE,Yes
1991,Documentary,Berkeley in the Sixties,NONE,No
1991,Documentary,Building Bombs,NONE,No
1991,Documentary,Burning Down Tomorrow,NONE,No
1991,Documentary,Chimps So Like Us,NONE,No
1991,Documentary,Days of Waiting,NONE,No
1991,Documentary,Forever Activists Stories from the Veterans of the Abraham Lincoln Brigade,NONE,No
1991,Documentary,Journey into Life The World of the Unborn,NONE,No
1991,Documentary,Rose Kennedy A Life to Remember,NONE,No
1991,Documentary,Waldo Salt A Screenwriter's Journey,NONE,No
1991,Film Editing,Dances With Wolves,NONE,Yes
1991,Film Editing,Ghost,NONE,No
1991,Film Editing,Goodfellas,NONE,No
1991,Film Editing,The Godfather Part III,NONE,No
1991,Film Editing,The Hunt for Red October,NONE,No
1991,Foreign Language Film,Cyrano de Bergerac,NONE,No
1991,Foreign Language Film,Journey of Hope,NONE,Yes
1991,Foreign Language Film,Ju Dou,NONE,No
1991,Foreign Language Film,Open Doors,NONE,No
1991,Foreign Language Film,The Nasty Girl,NONE,No
1991,Production Design,Cyrano de Bergerac,NONE,No
1991,Production Design,Dances With Wolves,NONE,No
1991,Production Design,Dick Tracy,NONE,Yes
1991,Production Design,Hamlet,NONE,No
1991,Production Design,The Godfather Part III,NONE,No
1991,Score,Avalon,NONE,No
1991,Score,Dances With Wolves,NONE,Yes
1991,Score,Ghost,NONE,No
1991,Score,Havana,NONE,No
1991,Score,Home Alone,NONE,No
1991,Screenplay - Adapted,Awakenings,NONE,No
1991,Screenplay - Adapted,Dances With Wolves,NONE,Yes
1991,Screenplay - Adapted,Goodfellas,NONE,No
1991,Screenplay - Adapted,Reversal of Fortune,NONE,No
1991,Screenplay - Adapted,The Grifters,NONE,No
1991,Screenplay - Original,Alice,NONE,No
1991,Screenplay - Original,Avalon,NONE,No
1991,Screenplay - Original,Ghost,NONE,Yes
1991,Screenplay - Original,Green Card,NONE,No
1991,Screenplay - Original,Metropolitan,NONE,No
1991,Song,Blaze of Glory,Young Guns II,No
1991,Song,I'm Checkin Out,Postcards from the Edge,No
1991,Song,Promise Me You'll Remember,The Godfather Part III,No
1991,Song,Somewhere in My Memory,The Godfather Part III,No
1991,Song,Sooner or Later,Dick Tracy,Yes
1991,Visual Effects,Total Recall,NONE,No
1992,AA Filler Data,AA Filler Data,NONE,No
